"Minute_Group","Goal_Type","Goal_Counts"
"[0,5)","Away",454
"[5,10)","Away",773
"[10,15)","Away",828
"[15,20)","Away",841
"[20,25)","Away",861
"[25,30)","Away",858
"[30,35)","Away",866
"[35,40)","Away",919
"[40,45)","Away",930
"[45,50)","Away",994
"[50,55)","Away",990
"[55,60)","Away",987
"[60,65)","Away",988
"[65,70)","Away",956
"[70,75)","Away",1028
"[75,80)","Away",1041
"[80,85)","Away",1107
"[85,90)","Away",1168
"[90,95)","Away",792
"[0,5)","Home",772
"[5,10)","Home",1154
"[10,15)","Home",1269
"[15,20)","Home",1324
"[20,25)","Home",1215
"[25,30)","Home",1366
"[30,35)","Home",1374
"[35,40)","Home",1348
"[40,45)","Home",1511
"[45,50)","Home",1603
"[50,55)","Home",1584
"[55,60)","Home",1533
"[60,65)","Home",1496
"[65,70)","Home",1526
"[70,75)","Home",1460
"[75,80)","Home",1534
"[80,85)","Home",1610
"[85,90)","Home",1797
"[90,95)","Home",1043
